Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60
1-49,112
2-49,118
3-49,132
4-49,129
5-49,121
6-49,135
7-49,148
8-49,148
9-49,136
10-49,119
11-49,104
12-49,118
1-50,115
2-50,126
3-50,141
4-50,135
5-50,125
6-50,149
7-50,170
8-50,170
9-50,158
10-50,133
11-50,114
12-50,140
1-51,145
2-51,150
3-51,178
4-51,163
5-51,172
6-51,178
7-51,199
8-51,199
9-51,184
10-51,162
11-51,146
12-51,166
1-52,171
2-52,180
3-52,193
4-52,181
5-52,183
6-52,218
7-52,230
8-52,242
9-52,209
10-52,191
11-52,172
12-52,194
1-53,196
2-53,196
3-53,236
4-53,235
5-53,229
6-53,243
7-53,264
8-53,272
9-53,237
10-53,211
11-53,180
12-53,201
1-54,204
2-54,188
3-54,235
4-54,227
5-54,234
6-54,264
7-54,302
8-54,293
9-54,259
10-54,229
11-54,203
12-54,229
1-55,242
2-55,233
3-55,267
4-55,269
5-55,270
6-55,315
7-55,364
8-55,347
9-55,312
10-55,274
11-55,237
12-55,278
1-56,284
2-56,277
3-56,317
4-56,313
5-56,318
6-56,374
7-56,413
8-56,405
9-56,355
10-56,306
11-56,271
12-56,306
1-57,315
2-57,301
3-57,356
4-57,348
5-57,355
6-57,422
7-57,465
8-57,467
9-57,404
10-57,347
11-57,305
12-57,336
1-58,340
2-58,318
3-58,362
4-58,348
5-58,363
6-58,435
7-58,491
8-58,505
9-58,404
10-58,359
11-58,310
12-58,337
1-59,360
2-59,342
3-59,406
4-59,396
5-59,420
6-59,472
7-59,548
8-59,559
9-59,463
10-59,407
11-59,362
12-59,405
1-60,417
2-60,391
3-60,419
4-60,461
5-60,472
6-60,535
7-60,622
8-60,606
9-60,508
10-60,461
11-60,390
12-60,432
